Week,fortnite
2016-01-31,<1
2017-01-01,<1
2017-07-02,<1
2017-07-09,1
2017-07-16,3
2017-07-23,5
2017-07-30,3
2017-08-06,2
2017-08-13,1
2017-09-17,1
2017-09-24,4
2017-10-01,5
2017-10-08,4
2017-10-15,4
2017-10-22,6
2017-10-29,5
2017-11-05,4
2017-11-12,5
2017-11-19,6
2017-12-24,9
2017-12-31,11
2018-01-07,13
2018-01-14,25
2018-01-21,27
2018-01-28,28
2018-02-04,27
2018-02-11,31
2018-02-18,38
2018-02-25,45
2018-03-04,46
2018-03-11,87
2018-03-18,74
2018-03-25,70
2018-04-01,69
2018-04-08,84
2018-04-15,70
2018-04-22,65
2018-04-29,85
2018-05-06,72
2018-05-13,72
2018-05-20,60
2018-05-27,64
2018-06-03,55
2018-06-10,76
2018-06-17,59
2018-06-24,74
2018-07-01,62
2018-07-08,83
2018-07-15,67
2018-07-22,82
2018-07-29,66
2018-08-05,71
2018-08-12,63
2018-08-19,71
2018-08-26,63
2018-09-02,60
2018-09-09,55
2018-09-16,59
2018-09-23,83
2018-09-30,61
2018-11-25,53
2018-12-02,74
2018-12-09,58
2018-12-16,62
2018-12-23,74
2018-12-30,63
2019-01-06,51
2019-01-13,55
2019-01-20,50
2019-01-27,64
2019-02-03,54
2019-02-10,57
2019-02-17,51
2019-02-24,64
2019-03-03,46
2019-03-10,43
2019-03-17,40
2019-03-24,39
2019-03-31,41
2019-04-07,38
2019-04-14,40
2019-04-21,41
2019-04-28,39
2019-05-05,49
2019-05-12,39
2019-05-19,38
2019-05-26,34
2019-06-02,34
2019-06-09,31
2019-06-16,32
2019-06-23,35
2019-06-30,34
2019-07-07,33
2019-07-14,36
2019-07-21,38
2019-07-28,52
2019-08-04,32
2019-08-11,29
2019-08-18,26
2019-08-25,26
2019-09-01,23
2019-09-08,21
2019-09-15,23
2019-09-22,27
2019-09-29,24
2019-10-06,25
2019-10-13,100
2019-10-20,30
2019-10-27,28
2019-11-03,27
2019-11-10,24
2019-11-17,24
2019-11-24,26
2019-12-01,22
2019-12-08,26
2019-12-15,29
2019-12-22,33
2019-12-29,28
2020-01-05,21
2020-01-12,23
2020-01-19,23
2020-01-26,20
2020-02-02,21
2020-02-09,20
2020-02-16,33
2020-02-23,24
2020-03-01,22
2020-03-08,21
2020-03-15,28
2020-03-22,31
2020-03-29,38
2020-04-05,37
2020-04-12,38
2020-04-19,50
2020-04-26,40
2020-05-03,38
2020-05-10,35
2020-05-17,36
2020-05-24,41
2020-05-31,35
2020-06-07,34
2020-06-14,55
2020-06-21,35
2020-06-28,36
2020-07-19,33
2020-07-26,31
2020-08-02,31
2020-08-09,34
2020-08-16,32
2020-08-23,42
